[Apr 22 13:36:53] (Admin) DamskiyUgodnik[ 71 ] :  registrate  Admin [ 71 , DamskiyUgodnik ]
[Apr 22 13:39:17] (Admin) DamskiyUgodnik[ 71 ] :  register  null [ 3719 , Librarian3test ] 
[Apr 22 13:40:45] (Admin) DamskiyUgodnik[ 71 ] :  edit  null [ 3719 , Librarian3test ] 
[Apr 22 13:49:06] (Admin) DamskiyUgodnik[ 71 ] :  edit  Librarian [ 3720 , Librarian3test ] 
[Apr 22 14:24:55] (Librarian) bbbbbbbbbbbbb[ 3713 ] :  add new  User [ null , Yarik ] 
[Apr 22 15:33:48] (Admin) DamskiyUgodnik[ 71 ] :  register  Librarian [ 3723 , TestLibra3 ] 
[Apr 22 15:34:44] (Librarian) TestLibra3[ 3723 ] :  add new  AV material [ 434 , Pron ]  
[Apr 22 15:54:02] (Librarian) TestLibra3[ 3723 ] :  add new  Student [ 3724 , ForDelete ] 
[Apr 22 15:54:26] (Librarian) TestLibra3[ 3723 ] :  delete  Student [ 3724 , ForDelete ] 
[Apr 22 15:57:47] (Librarian) TestLibra3[ 3723 ] :  edit  User [ 3716 , Kukareku ] 
[Apr 22 16:00:55] (Librarian) TestLibra3[ 3723 ] :  edit  Student [ null , Yarik ] 
[Apr 22 16:06:43] (Librarian) TestLibra3[ 3723 ] :  edit  Instructor [ 3727 , Yarik ] 
[Apr 22 16:10:38] (Librarian) TestLibra3[ 3723 ] :  delete  Instructor [ 3727 , Yarik ] 
[Apr 22 16:10:58] (Librarian) TestLibra3[ 3723 ] :  add new  Student [ 3728 , Yarik ] 
[Apr 22 16:11:37] (Student) Yarik[ 3728 ] :   booke   Book [ 421 , SomeBook ]  
[Apr 22 16:12:07] (Student) Yarik[ 3728 ] :  return  Book [ 421 , SomeBook ]  
[Apr 22 16:12:07] (Student) Yarik[ 3728 ] :   booke   Book [ 421 , SomeBook ]  
[Apr 22 16:12:07] (Student) Yarik[ 3728 ] :  renew  Book [ 421 , SomeBook ]  
[Apr 22 16:17:26] (Student) Yarik[ 3728 ] :  return  Book [ 421 , SomeBook ]  
[Apr 22 16:17:26] (Student) Yarik[ 3728 ] :   booke   Book [ 421 , SomeBook ]  
[Apr 22 16:17:26] (Student) Yarik[ 3728 ] :  renew  Book [ 421 , SomeBook ]  
[Apr 22 16:27:45] (Student) Yarik[ 3728 ] :  return  Book [ 421 , SomeBook ]  
[Apr 22 16:27:45] (Student) Yarik[ 3728 ] :   booke   Book [ 421 , SomeBook ]  
[Apr 22 16:27:45] (Student) Yarik[ 3728 ] :  renew  Book [ 421 , SomeBook ]  
[Apr 22 16:28:01] (Student) Yarik[ 3728 ] :  return  Book [ 421 , SomeBook ]  
[Apr 22 16:28:13] (Student) Yarik[ 3728 ] :   added to queue   AV material [ 434 , Pron ]  
[Apr 22 16:48:27] (Student) Yarik[ 3728 ] :  check out  Book [ 421 , SomeBook ]  
[Apr 22 16:49:09] (Librarian) TestLibra3[ 3723 ] :  edit  Student [ 3729 , Yarik ] 
[Apr 22 16:49:13] (Librarian) TestLibra3[ 3723 ] :  delete  Student [ 3729 , Yarik ] 
[Apr 22 18:36:43] (Librarian) TestLibra3[ 3723 ] :  add new  Student [ 3730 , Student ] 
[Apr 22 18:38:44] (Student) Student[ 3730 ] :   added to queue   AV material [ 434 , Pron ]  
[Apr 22 18:48:42] (Student) Student[ 3730 ] :   added to queue   AV material [ 434 , Pron ]  
[Apr 22 19:03:59] (Student) Student[ 3730 ] :   added to queue   AV material [ 434 , Pron ]  
[Apr 22 19:33:13] (Librarian) TestLibra3[ 3723 ] :  delete  Professor [ 3725 , Kukareku ] 
[Apr 22 19:33:35] (Librarian) TestLibra3[ 3723 ] :  add new  Professor [ 3731 , Kukareku ] 
[Apr 22 19:33:49] (Professor) Kukareku[ 3731 ] :   added to queue   AV material [ 434 , Pron ]  
[Apr 23 00:15:53] (Patron) i.vakhula_user[ 31 ] :  return  Book [ 434 , Hello, they are we up ]  
[Apr 23 00:18:19] (Patron) i.vakhula_user[ 31 ] :   booke   AV material [ 438 , Secret Chat ]  
[Apr 23 00:22:34] (Patron) i.vakhula_user[ 31 ] :  return  AV material [ 438 , Secret Chat ]  
[Apr 23 00:22:45] (Patron) i.vakhula_user[ 31 ] :   booke   Article [ 437 , If suggest for talk ]  
